id,team_name,player_name,angle,distance,under_pressure,body_part_name_Other,body_part_name_foot,shot_first_time,shot_deflected,shot_open_goal,shot_follows_dribble,shot_one_on_one,position_category,goal
14ca6bba-9015-4312-97ff-de53b5475d5d,Germany,Jamal Musiala,32.5857073539144,21.1404824921287,0,0,1,0,0,0,0,0,Midfielder,0
34dd3f72-f2c1-4450-ac06-6e4efe12307d,Germany,Kai Havertz,21.097949588989145,12.731849826321392,0,0,1,0,0,0,0,0,Forward,0
3659f034-451c-4b78-b7cd-def5a2826d3b,Costa Rica,Juan Pablo Vargas Campos,38.48019824834299,3.9000000000000057,0,0,1,1,0,0,0,0,Defender,0
c4228b37-0848-4956-88be-b9de989cdb03,Germany,Kai Havertz,13.657642505812156,10.700000000000003,0,0,1,0,0,0,0,0,Forward,1
630893bf-cb2c-4855-be03-859b0b0a4937,Germany,Kai Havertz,13.091893064346845,17.200000000000003,0,0,1,1,0,0,0,0,Forward,0
b3eec692-da70-491a-862d-408f9f445f1c,Germany,Niclas Füllkrug,43.78112476486873,4.837354648979128,0,0,1,1,0,0,0,0,Forward,0
a68980fa-5327-4868-9a62-e12f17f782f5,Costa Rica,Jewison Bennette,14.036243467926479,25.71225388798111,0,0,1,0,0,0,0,0,Forward,0
a1c67dba-bec2-42b9-9992-46c5a7bc55b6,Germany,Jamal Musiala,30.854204505897002,16.254230218623093,0,0,1,0,0,0,0,0,Midfielder,0
6b2b4586-0a6d-4d37-ae80-1172a369d697,Germany,Kai Havertz,19.179008025810695,6.900000000000006,0,0,1,1,0,0,0,0,Forward,1
7a33ff86-ac3f-43e1-bfe8-51c834413e8d,Germany,Kai Havertz,53.55555824341291,13.159027319676781,0,0,1,0,0,0,0,1,Forward,0
fb3450e4-055a-4918-bf54-118c436e826f,Germany,Mario Götze,15.478638165418365,13.0,0,0,0,0,0,0,0,0,Midfielder,0
0c72151d-e421-44a1-8e71-d440e2337535,Germany,Niclas Füllkrug,25.676815681838207,5.200000000000003,0,0,1,1,0,0,0,0,Forward,1
ffec1808-4db2-49f2-8dcd-6ab8f139b581,Germany,Niclas Füllkrug,2.7263109939062606,18.900000000000006,0,0,1,0,0,0,0,0,Forward,0
7029f380-30ac-4dd8-9968-a0484377b231,Germany,Niclas Füllkrug,73.95099520746685,3.911521443121584,0,0,0,0,0,0,0,1,Forward,0
804fe5e9-af7a-42c9-b6c4-b52b4bfba9d6,Germany,Jamal Musiala,1.3748347805693921,12.5,0,0,1,0,1,0,0,0,Midfielder,0
75ab78df-2785-4410-89c5-75e8d8d0fcd4,Spain,Daniel Olmo Carvajal,37.822754149145,7.833900688673549,0,0,1,1,0,0,0,0,Forward,0
f4bee231-5e53-46e4-88fc-e4eb9f2455be,Spain,Marco Asensio Willemsen,2.290610042638539,17.5,0,0,1,1,0,0,0,0,Forward,0
57acf951-0809-4c02-a42b-55f34525e7da,Spain,Daniel Olmo Carvajal,5.194428907734825,7.700000000000003,0,0,1,0,0,0,0,1,Forward,1
a2c90787-3454-4725-92d9-c460eb535a89,Spain,Marco Asensio Willemsen,24.928474135461272,14.436065946094875,0,0,1,1,0,0,0,0,Forward,1
f684c913-6b17-4712-90d6-e1005873dd0f,Spain,Marco Asensio Willemsen,19.82038108747475,28.971192588500735,0,0,1,0,0,0,0,0,Forward,0
9901fe1e-3ed3-4562-9290-d6493a91a0ab,Spain,Marco Asensio Willemsen,45.0,10.977249200050075,0,0,1,0,0,0,0,0,Forward,0
35384252-3322-4dac-b9f8-4c43ce5eddae,Spain,Marco Asensio Willemsen,16.294047456598918,19.57396229688818,0,0,1,0,0,0,0,0,Forward,0
0e31875e-9cb0-44e3-8e33-16fd11c1bae9,Spain,Ferrán Torres García,60.58440116690446,7.566372975210776,0,0,1,0,0,0,0,0,Forward,1
1f979760-5f65-4273-9ce9-142b9ba7bcf9,Spain,Daniel Olmo Carvajal,27.054050224265712,29.834376145647827,0,0,1,0,0,0,0,0,Forward,0
b0e5d9c5-12bb-48f1-9064-d78db7db1747,Spain,Álvaro Borja Morata Martín,60.25511870305778,12.806248474865697,0,0,1,0,0,0,0,1,Forward,0
dc7742fa-c8ec-4649-9308-023c034b81a0,Spain,Daniel Olmo Carvajal,47.806370251788245,11.78897790310933,0,0,0,0,0,0,0,0,Forward,0
328a4296-e2a8-4d85-bd48-b391ec5dd4e4,Spain,Pablo Martín Páez Gavira,18.838433557980753,17.09502851708648,0,0,1,1,0,0,0,0,Midfielder,1
4e11e511-7306-4739-b23d-0ced64f232df,Spain,Carlos Soler Barragán,0.5562522270806806,10.299999999999997,0,0,1,1,0,0,0,0,Midfielder,1
2ba5a55b-168e-4168-b808-3903f9f842a1,Spain,Álvaro Borja Morata Martín,12.680383491819825,16.0,0,0,1,1,0,0,0,0,Forward,1
d552f2f3-b14f-462f-895a-fb7f7c8474cd,Spain,Carlos Soler Barragán,8.130102354155978,17.5,0,0,1,1,0,0,0,0,Midfielder,0
f06f2384-bd6b-426e-9fb2-285f2b9d6177,Cameroon,Bryan Mbeumo,58.503500093749885,17.007351351694947,0,0,1,1,0,0,0,0,Forward,0
ae44daa7-14aa-41b9-97f1-73c54adc025f,Cameroon,Karl Brillant Toko Ekambi,34.95797636447049,11.954078801814882,0,0,1,1,0,0,0,0,Forward,0
8fe2a5f8-2fad-4906-9db3-4a23452f1a23,Switzerland,Granit Xhaka,20.299734082261015,32.83976248391575,0,0,1,0,0,0,0,0,Midfielder,0
1d924123-0dea-4f47-846d-dc60efe4496d,Cameroon,Ngoran Suiru Fai Collins,43.044318602477105,26.440121028467324,0,0,1,0,0,0,0,0,Defender,0
